库大小	库名称

4096.30M	 linker synthesized
31.71M	TXLiteAVSDK_Player
5.52M	libavcodec.a
5.32M	libPlayerSDKLib.a
2.14M	libx264.a
1.76M	PlayerSDK
1.07M	GSCommonKit
1.02M	GSDocKit
957.38K	libswscale.a
948.18K	tnnliveness
786.32K	QCloudCore
764.45K	GPUImage
740.10K	QCloudCOSXML
697.03K	WBCloudReflectionFaceVerify
571.84K	BeaconAPI_Base
559.83K	TuringShieldCamRisk
424.25K	liblibfaad.a
310.02K	libavutil.a
300.60K	YTFaceAlignmentTinyLiveness
283.14K	SuperPlayer
273.04K	libaacplus.a
267.37K	CrashReporter
245.90K	QuestionsViewController.o
240.35K	YTCommonLiveness
234.42K	TestpaperDetailViewController.o
199.04K	VideoViewController.o
166.85K	YTFaceTrackerLiveness
156.03K	CourseViewController.o
136.51K	YTFaceDetectorLiveness
123.43K	YTFaceLiveReflect
118.10K	YTPoseDetector
90.95K	StudyViewController.o
90.66K	UIKit+Extension.o
84.02K	LiveViewController.o
78.50K	OfflineVideoViewController.o
78.23K	AnswerSubListViewController.o
76.04K	STRecordPlayerViewController.o
67.84K	ChapterTableView.o
66.69K	BindMobileViewController.o
66.02K	QuestionBankViewController.o
65.66K	TestlibraryStudyRecordViewController.o
63.05K	CoursewareViewController.o
60.26K	TestpaperReportViewController.o
60.20K	MyAnswerViewController.o
59.74K	LoginViewController.o
59.65K	NetworkManager+Login.o
58.63K	MBProgressHUD.o
58.57K	NetworkManager+Course.o
58.49K	NetworkManager+Answer.o
57.75K	CoursewareStudyRecordViewController.o
56.82K	MineViewController.o
56.22K	OfflineVideoChapterTableView.o
56.07K	MoviePlayerViewController.o
55.38K	ReportQuestionsViewController.o
51.65K	LoginRespObj.o
51.06K	QuestionsReportViewController.o
49.73K	NetworkManager+StudyRecord.o
47.83K	BoundMobileViewController.o
46.33K	AboutUsViewController.o
46.12K	UpdateMobileViewController.o
45.87K	DiscoveryViewController.o
41.59K	SecondVerifyViewController.o
41.41K	NetworkManager+Student.o
40.92K	CourseInfoTableHeaderView.o
40.92K	VerifyMobileViewController.o
40.42K	ProfileViewController.o
37.26K	UpdateStudentViewController.o
36.96K	Notice+Extension.o
36.01K	ImageRow.o
34.68K	NetworkManager+SystemParam.o
34.25K	GetStudentCourseTypeViewController.o
34.18K	LiveCourseStudyRecordViewController.o
33.55K	NSString+Common.o
33.20K	OfflineVideoChapterTableViewCell.o
33.04K	ChapterListTableView.o
32.26K	ChapterTableViewCell.o
31.11K	ChapterListTableViewCell.o
30.43K	StudyRecordViewController.o
30.19K	UIView+CustomAutoLayout.o
29.47K	MessageSetViewController.o
28.81K	OfflineVideoSectionTableViewCell.o
28.68K	SLWebTableViewController3.o
28.41K	BasicWebViewController.o
27.34K	LiveCourseTableViewCell.o
26.90K	TestlibraryTableViewCell.o
26.63K	TestpaperDirectoryViewController.o
26.21K	FMDBTool.o
26.17K	PhotoCollectionViewController.o
25.15K	NetworkManager+Newmsg.o
25.01K	BasicListRefreshViewController.o
23.61K	BoundMobileView.o
23.31K	FaceVerifyViewController.o
22.56K	BasicListViewController.o
22.37K	PrivacyAlertView.o
22.24K	AnswerSubListMsgCell.o
22.01K	Const.o
21.09K	AnswerSubListImgCell.o
21.09K	NewsListViewController.o
20.49K	ReadLocUtil.o
20.48K	CoursewareSectionListViewController.o
20.42K	HSDownloadManager.o
19.78K	SLWebTableViewController2.o
19.35K	AppDelegate.o
19.35K	TestlibraryTestpaperListTableViewCell.o
19.27K	LoginView.o
18.87K	Foundation+Extension.o
18.70K	SectionTableViewCell.o
18.63K	TCUtil.o
17.93K	CFDanmakuView.o
17.65K	AppleLookupRespObj.o
17.50K	NetworkManager+Face.o
17.27K	NewsListView.o
17.26K	NetworkConst.o
17.05K	GetStudentTableHeaderView.o
17.01K	UpdPwdViewController.o
16.85K	AllAnswerViewController.o
16.66K	UIImage+Additions.o
16.52K	VerifyMobileView.o
16.37K	MyAnswerListImgCell.o
16.25K	LiveCourseTableViewHeaderView.o
16.09K	CourseInfoRespObj.o
16.09K	SLWebCacheManager.o
15.94K	PhotoCollection1ViewController.o
15.93K	UpdateCheckManager.o
15.88K	GetStudentCourseTypeRespObj.o
15.87K	UpdateStudentRespObj.o
15.87K	GetStudentRespObj.o
15.75K	SuperPlayerGuideView.o
15.08K	LiveCourseSectionListTableViewCell.o
14.79K	CourseInfoWebTableViewController.o
14.68K	TestlibraryStudyRecordTableHeaderView.o
14.65K	TabBarController.o
14.55K	AnswerViewController.o
14.55K	CoursewareStudyRecordTableHeaderView.o
14.33K	STMoviePlayerViewController.o
14.28K	NewsListTableViewCell.o
14.11K	CoursewareStudyRecordRespObj.o
13.98K	CoursewareListRespObj.o
13.89K	GetQuestionsRespObj.o
13.73K	CourseInfoListHeaderView.o
13.70K	OfflineVideoCoursewareTableViewHeaderView.o
13.48K	LiveCourseStudyRecordTableHeaderView.o
13.47K	SectionListTableViewCell.o
13.28K	NavigationController.o
13.28K	LiveCourseListRespObj.o
13.26K	TestlibraryTableViewHeaderView.o
13.24K	SLTableViewController.o
13.00K	StudyRecordTableViewCell.o
12.93K	CoursewareTableViewHeaderView.o
12.93K	MsgContentViewController.o
12.78K	ImagePickerController.o
12.55K	MyAnswerListMsgCell.o
12.53K	libSystem.tbd
12.32K	ListVideoCell.o
12.08K	ReachabilityManager.o
12.00K	MyCoursesTableViewCell.o
11.88K	LocationManager.o
11.85K	SLWebTableViewController4.o
11.64K	BaiscCourseStudyRecordTableHeaderView.o
11.32K	SexImageView.o
11.21K	AddPersonWaitViewController.o
10.80K	BasicPagingViewTableHeaderView.o
10.49K	TestlibraryStudyRecordRespObj.o
10.42K	CreateAnswerRespObj.o
10.41K	JKAlert.o
10.31K	LiveCourseStudyRecordRespObj.o
10.25K	UncaughtExceptionHandler.o
10.18K	QuestionBankHeaderView.o
10.17K	RootViewControllerTool.o
10.17K	MyCoursesRespObj.o
10.15K	AnswerSubListBaseCell.o
9.97K	AddPersonOKViewController.o
9.84K	CreateAppFaceOrderRespObj.o
9.61K	SysInfoRespObj.o
9.58K	TestpaperDetailRespObj.o
9.48K	MineTableViewCell.o
9.32K	TestlibraryListRespObj.o
9.27K	LiveCourseSectionListTableViewHeaderView.o
9.25K	ImageLoadUtil.o
